seed,binary codification,max layers,max convs per layer,layers,training secs,epochs,val_loss,val_iou,val_dice,val_dice crossentropy,val_accuracy,train_loss,train_iou,train_dice,train_dice crossentropy,train_accuracy
820,AAAAAAAAAAAAAAAAANIWDEAAY6FIHZWKDGDRRTA_192,4,2,2,65.60479903700616,15,0.3775817799568176,0.6224182200431824,0.76279718875885,0.5744112706184388,0.8996743011474609,0.37856998950243,0.62139828145504,0.7638784229755402,0.5735016253590584,0.89644437789917
828,AAAAAAAAAAAAAAAAAAADB7O5CIAAUDQAOZIAB4A_192,4,2,2,1044.5100633549955,15,0.185560872554779,0.814439127445221,0.8967721509933472,0.6499870944023133,0.9494677734375,0.172756555378437,0.8272416919469834,0.9046359604597092,0.6569189748167992,0.952585220336914
829,AAAAAAAAAAAAAAAAAMAH6EADLSTCPOQAMLIAC5Y_192,4,2,2,172.37525430200185,15,0.4763349449634552,0.5236650550365448,0.6871702766418457,0.5731940615177155,0.9737006378173828,0.4802621009945869,0.5197366893291473,0.6837326672673225,0.5714890152215958,0.9737933540344238
833,LTHUPE6FUJRQDAAOVAACCPQDXQAAELQAE6K7B5Q_192,4,2,4,753.9119557059967,15,0.7876560997962951,0.2123439002037048,0.349895476102829,0.2428647303581237,0.2675508880615234,0.7737703999876976,0.2262296548485756,0.3683829846978187,0.2103815492987632,0.2826825904846191
841,NS2UPN7PEWV2FAAKAQACKPG4ILTDRFQAPLQAGBA_192,4,2,4,3611.017349292008,15,0.7941949772834778,0.2058050227165222,0.3407044672966003,0.1952135062217712,0.1989793395996093,0.7941380169987678,0.2058706721663475,0.3408343830704689,0.1953154399991035,0.1990189552307129
844,AAHW252UIADSXAAH4AAO6EJRBSZE5AQAECIRXQY_192,4,2,4,267.8642531289952,15,0.7716301512718201,0.2283698487281799,0.3711692678928375,0.1938972020149231,0.3029228210449218,0.768386158645153,0.2316083642840385,0.3752805855870247,0.1961050069332122,0.3056103324890136
845,AAAAAAAAAAAAAAAAAOGCZMAAWRZIFO4GEKAQRHA_192,4,2,2,574.2981459250004,15,0.1245069622993469,0.8754930377006531,0.933322594165802,0.6979674160480499,0.965197296142578,0.1316423034667968,0.8683030316233635,0.929124032855034,0.6943150469660759,0.9623030471801758
846,AAAAAAAAAAAAAAAAAAAMBUQXGEUO4CTC5LJXHUY_192,4,2,2,143.94792833000247,15,0.1509595251083374,0.8490404748916626,0.9175469827651976,0.672231320142746,0.9580361938476564,0.1417463681101799,0.8582523068785668,0.9230615809559822,0.6765435776114463,0.959686279296875
860,AAAAAAAAAAAAAAAAAAAOAXO36R4KLYQANAQAB7A_192,4,2,2,928.1737345739966,15,0.1425331008434295,0.8574668991565705,0.9227717554569244,0.6742142868041993,0.9592053985595704,0.1259881362318992,0.8740106534957885,0.932499877512455,0.6834159627556801,0.963648509979248
866,AAAAAAAAAAAAAAAAAAABDUABA4AARJVYHJBUBMI_192,4,2,2,34.79123694000009,15,0.1705610275268554,0.8294389724731446,0.9060847043991088,0.6707533180713654,0.9528353118896484,0.1723364627361297,0.8276589119434357,0.9048880830407142,0.6698292788863182,0.9528554916381836
867,AAAAAAAAAAAAAAAAAFGHIMLRSPVYQDQANLJVDNY_192,4,2,2,91.9588206340004,15,0.7937896180152894,0.2062103819847107,0.341487044095993,0.1778771388530731,0.2081037902832031,0.7903892725706101,0.2096038842201233,0.345901840031147,0.1802425369620323,0.2113069725036621
873,AAAAAAAAAAAAAAAAAOLROMKJYTUKIYRLEZQAGVI_192,4,2,2,281.6543927130001,15,0.7543824315071106,0.2456175684928894,0.3934513211250305,0.2131101417541503,0.3626575469970703,0.7533588546514511,0.2466367834806442,0.3948283457756043,0.2120074254274368,0.3628514862060547
883,AAE4YAC7EAAQZAA6EQABGMABTQJAVER2M2IADPA_192,4,2,4,184.89694670399967,15,0.1831846582889557,0.8168153417110443,0.8987000262737275,0.6778081703186035,0.9511334991455078,0.1848624116182327,0.8151241239905357,0.8977411490678787,0.6769460862874985,0.9508403778076172
886,AAAAAAAAAAAAAAAAADDOCEADYAABTKRBVJGU6RA_192,4,2,2,537.1458014649997,15,0.1239103126525879,0.8760896873474121,0.933536503314972,0.6459974920749665,0.9623387145996094,0.1263483822345733,0.87365125477314,0.9319904971122742,0.6512581267952919,0.962904815673828
